featureid	ASV32	ASV17	ASV2	ASV3	ASV10	ASV13	ASV40	ASV11	ASV19	ASV4	ASV12	ASV18	ASV30	ASV75	ASV79	ASV5	ASV1	ASV16	ASV38	ASV9
Acetaldehyde	0.7024449118829805	2.5166740747557435	1.6485223837210714	0.6363934053002639	0.5371257467331643	0.6803614362997968	0.6797101657367669	0.633454724275797	0.9789972418894576	2.168751850407186	0.6915775727832963	0.6899232163098218	1.0286377553481132	0.6804755176126143	0.6806250709315664	2.101774955677757	2.6443627053118712	0.6853760646152941	0.6803295729501257	1.6831565582359564
Pentanal	-0.3047005247402468	-0.7345957375443084	-0.5985274920210994	-0.2796130773720803	-0.2238329811437214	-0.2964204261730423	-0.29796614682863987	-0.24839253328272248	-0.4353826687274348	-0.7129914058068509	-0.3019147242538056	-0.29869370335719647	-0.4077309756732812	-0.2964787231984366	-0.29647634853368565	-0.6383577630968391	-0.7426013074322944	-0.29872349526180597	-0.29641632568083887	-0.5770014508741896
Hexanal	-0.4657962079009601	-1.1812180019256409	-1.0123962646484526	-0.4037444835482281	-0.26137041961392127	-0.451243134945151	-0.454052531325034	-0.40968035391947544	-0.6939900670119171	-1.1732662199416	-0.4607439083756756	-0.45505444857060884	-0.6766867658956239	-0.45133392305726394	-0.45135171103738037	-1.0237266864746148	-1.188075663949518	-0.45544929722205796	-0.4512571583691216	-0.9004277378323495
Heptanal	-0.3282362215730181	-0.7481368634143499	-0.6328895821369838	-0.29672464549855015	-0.22562025457893864	-0.3200214992578153	-0.32153036870422336	-0.2892007800736379	-0.45644763683542233	-0.7342112627334574	-0.32537241714202725	-0.32225194025873416	-0.4420953076638674	-0.3200745135350749	-0.3200821913157992	-0.6550128872069445	-0.7547263725722138	-0.32235094412586907	-0.3200250145097365	-0.585287097273711
Octanal	-0.1252122196201002	-1.0592068598785551	-0.8487690427546835	-0.041353655612373585	0.15187483973436827	-0.10598679495888119	-0.10975733758266204	-0.054714386214092525	-0.42725951561513564	-1.0548478165139175	-0.11855719499082273	-0.11096623733940658	-0.40639080584349463	-0.10610594088681358	-0.10613011761713353	-0.8540101125695871	-1.0664102522963423	-0.11157159919944815	-0.10600775534519402	-0.692154095570161
Nonanal	0.00010875202876792223	-0.17784062122686484	-0.14049495400689094	0.019969209934123877	0.06447985046350835	0.0034008790049470106	0.0029440141840152423	-0.004734841696671155	-0.04787503514103075	-0.1731358485422705	0.0014529898940343067	0.0024457085464152373	-0.05957464725719275	0.0033859632008556018	0.003367950149268495	-0.13909394870310887	-0.18169114532265862	0.0024470695072748017	0.0033916935105468005	-0.09499869270253125
(E)-2-Nonenal	-0.7654155467880959	-2.623646373359859	-2.1356549158702487	-0.6291950870551856	-0.3156980889090214	-0.7272292181480994	-0.7350258556192927	-0.5448899999008933	-1.374885883278294	-2.5923663244646677	-0.7527957462814551	-0.7370912980753156	-1.2684055546753377	-0.7274896782074061	-0.7274853247667619	-2.211719454013303	-2.639830312809443	-0.7381634968091791	-0.7272369157007936	-1.9412312867698924
2,3-Butanedione	0.5825711454562784	2.233310750885677	2.0971307198087166	0.35146991317896475	-0.1924385946393774	0.5454031600414683	0.553053258215392	0.6107932027988906	1.1608493243437756	2.3404825496006394	0.5691094386574188	0.5543187955764999	1.2405971497184631	0.5455886997900543	0.5457196415817844	1.8815400141782535	2.2194253551638576	0.5568092638519587	0.5455252512876199	1.50950174554922
3-Penten-2-one	-0.29596761803055716	-0.8489430905809434	-0.693172611522294	-0.2571364820962426	-0.16923788822204422	-0.28502722634159317	-0.2871155771773477	-0.2348387964740516	-0.46841607163626253	-0.8309091294760167	-0.29224946252773987	-0.28796037380486805	-0.44134819896222366	-0.2851007055321584	-0.28510396920487047	-0.7260257572816231	-0.8568671028461088	-0.2881242606627049	-0.28502859712322703	-0.640958677378916
2-Heptanone	1.4883752597394913	4.049068152257819	3.581632025813419	1.2284706790987903	0.6202560328777174	1.4329939097383824	1.4445861242199016	1.317956355275271	2.3665473595120456	4.105692817778173	1.4695047258982536	1.4466843010166786	2.321738174793167	1.4333307987004713	1.4334019407022072	3.49090319543816	4.048316884491762	1.4493927199827745	1.4330786252717025	3.0429721246379264
Acetoin	1.3362221102423473	2.8136289155152263	2.3120777081477213	1.278690746709497	1.1467763524890502	1.3058817371473217	1.3126201438592076	1.0259741248930623	1.8368475631944134	2.7527941437261303	1.3272172682179386	1.3136482664675406	1.642799234533189	1.3061287263073222	1.3060367664885804	2.4800510601317773	2.8289557158036347	1.3143116303862503	1.3058312759897215	2.3519597808088237
2-Nonanone	0.8790199247919327	2.67318389673598	1.9529280025408073	0.8520219380682797	0.794184164479752	0.8431498006046478	0.8512216719386554	0.40881815394432885	1.4790858376079044	2.5518887022536587	0.8689591138797692	0.8525206212558498	1.1698842190175047	0.8434712599640409	0.8433019469092322	2.26266269846447	2.700735589710235	0.8528289770380686	0.8430429725170476	2.1635309205332147
Ethyl hexanoate	-0.8611631797221013	-2.9327264734190215	-2.392351451462134	-0.7082740571871092	-0.3561183573720281	-0.818508733759402	-0.8272390588762729	-0.6162675307170346	-1.5421526312533356	-2.900075396997086	-0.847073169105307	-0.8295043573515705	-1.4240227952886548	-0.8187993506941145	-0.8187947994593865	-2.4736578924324677	-2.9501186811085125	-0.8307329922163548	-0.818518268399256	-2.1718385917450584
Methyl Benzoate	-0.38546472770760887	-1.2801619841045855	-1.0546458745045666	-0.3143770049827965	-0.15133962942202395	-0.36725617155142676	-0.3708454435201457	-0.2977386935629852	-0.6731530209901563	-1.2658038907941362	-0.379278278801107	-0.3720129801525084	-0.6372597391989419	-0.36737497252299534	-0.3673856642883706	-1.0824300759831837	-1.2889730735751206	-0.37248647621297526	-0.3672664243788253	-0.9395897449765238
delta-Decalactone	0.29755678837631927	0.5570877535664693	0.6390062442055193	0.22360901150928697	0.04703690955460815	0.29049485932063857	0.2920097389904888	0.3762290713690697	0.40351892585396865	0.621995223224066	0.2946705315016376	0.2919492343179014	0.47347280783099277	0.29050976049181787	0.2905744547776822	0.506654031778456	0.5444647783316365	0.2929048178941527	0.2905531779550131	0.4050891487867718
delta-Dodecalactone	-0.4213343603318225	-1.120275917253648	-0.924337122570152	-0.37279543808249394	-0.26248226929677443	-0.40737070863930425	-0.4100962826741218	-0.33973127202072295	-0.6425102616521999	-1.0995101975195398	-0.41664485925818273	-0.4110770287694826	-0.6044673344584424	-0.4074657333283447	-0.4074664958894867	-0.9648900907492903	-1.129346883071995	-0.41132992213641606	-0.407371522147322	-0.8607029483759527
1-Hexanol	-0.830885842666204	-0.10904845897004867	-0.34887279950730243	-0.8592723215338368	-0.9253564943430108	-0.8459984942128475	-0.8425383802474401	-0.9878998894627741	-0.579912432455706	-0.1334374562669085	-0.8352929406456039	-0.8422040817923896	-0.6797909053192783	-0.8458743679607128	-0.8459239615393046	-0.2719062289251548	-0.10364094486560571	-0.8417772327580723	-0.8460235096942108	-0.32984231102978523
1-Octen-3-ol	-0.14769160269600812	-0.7993711815377984	-0.49903023069568886	-0.14835357492609336	-0.15483473778791024	-0.1356270566476484	-0.13810225053719283	0.030396958360595305	-0.34746534070917423	-0.730814979088966	-0.14425554672268093	-0.13901738288778964	-0.23144984838617644	-0.13573984320046917	-0.13567721548134148	-0.648710405892488	-0.8167609623856427	-0.13875217596797473	-0.13557881746545186	-0.6135983577236752
Linalool	-0.8808656768201215	-3.064429279761169	-2.496909637793636	-0.7190854242834902	-0.34630075890867174	-0.8358626556741217	-0.845083304083715	-0.6234891218121322	-1.5994200202309994	-3.031206388480304	-0.8660009461206774	-0.8474535933370752	-1.475422003283922	-0.8361690298690017	-0.8361645699699305	-2.5806287535085675	-3.082429413100022	-0.8487658452210521	-0.8358733044676381	-2.2621693176847737
Butanoic acid	0.5261549731902008	2.212659815465648	1.8345010774302455	0.38373911651513043	0.050911897819258034	0.490065636381724	0.4977847646576281	0.3454843383657228	1.1052512857085262	2.2229232760966964	0.5143117034922077	0.49904091579958565	1.0211184679829324	0.4903053667117965	0.49030876080198493	1.8414899389520736	2.216237468555712	0.5005857983293746	0.4900902485574281	1.5890999935076104
Hexanoic acid	-0.1887611882939394	1.1603230513767238	0.5613217245232167	-0.1856769996396398	-0.17402385097215345	-0.2154031750496047	-0.20927478474339412	-0.5976101456085608	0.26266624178139264	1.0468489921353052	-0.19585036291156088	-0.2083905981134414	-0.01392200605282623	-0.21514715376075366	-0.2153095111711707	0.8487443013245182	1.1844682465097813	-0.20835875281395433	-0.2155088182721392	0.8085704075393947
Methanethiol	-0.30598309758272313	-0.7322997625734309	-0.6080513305294428	-0.2768832108697584	-0.21154401336712825	-0.2976921961866681	-0.29922636014226955	-0.2596930280601374	-0.4359897135954717	-0.7152543849938882	-0.3031344610241975	-0.2999525765942642	-0.4161307455852028	-0.2977476820425804	-0.29775129341596385	-0.637391927141441	-0.7394752379903613	-0.30002533979525425	-0.29769265284605906	-0.5707010813542341
Dimethyl sulfide	-0.33217444257088236	-0.4626764971001385	-0.3454601820401255	-0.35192383349698586	-0.4013967235005699	-0.33059338869642085	-0.33080825012800175	-0.2620587878600168	-0.3598670151056592	-0.4203338213998693	-0.33188910785158166	-0.3312452721271434	-0.3106068283840515	-0.33062088093801556	-0.33058889310274453	-0.4299029111856614	-0.47303240948919534	-0.3308277167451933	-0.3305637876950478	-0.4417951742945432
Dimethyl disulfide	-0.31828173347541067	-0.007255140726461828	-0.02660484794058182	-0.3614872992156335	-0.46470916955350305	-0.32572760063142103	-0.32402059553158635	-0.323326469774624	-0.1993016354675653	0.020579910156700798	-0.32081414032304256	-0.32404915823824487	-0.19369838597581612	-0.3256867469229714	-0.32567056071739575	-0.07343708307425967	-0.013026821689860135	-0.32342513838453024	-0.32570600131924676	-0.13509779686216206
Dimethyl trisulfide	0.7746690174635656	0.7178770491642745	1.1323639063462483	0.6254449198210087	0.26838809579869954	0.7722344774538465	0.7724605583170185	1.113340944432006	0.786796399066109	0.8904918830102515	0.7719242943613103	0.7721505964316532	1.0510188290335347	0.7721509561423603	0.7723553235176059	0.7499090779468558	0.684595915062645	0.7739364609562489	0.7723969582835406	0.5582779839422498
Dimethyl tetrasulfide	-0.5027177006616803	-2.266424403819028	-1.8115650967320545	-0.3699906441766486	-0.06436602219046061	-0.4664333569699296	-0.47382001572884624	-0.30170410311605533	-1.0809744276459003	-2.239865228910408	-0.4906699792286192	-0.4757987301926515	-0.9865453631562686	-0.46667836446679933	-0.4666795240459676	-1.8758742977184655	-2.28133859503773	-0.47684296248312774	-0.46644440110016316	-1.6139542612019335
Styrene	0.873529008009599	1.2144431874722934	0.8102496441993725	0.9760782994418014	1.2196363638711332	0.8684159418506032	0.8701121033311111	0.5335228598418417	0.9844431983940699	1.0855804035410825	0.8738096068782201	0.8700421052407411	0.7262815728027037	0.8685405612025833	0.8683502956967827	1.1230470020646797	1.236782520601488	0.8691148454545738	0.8682794981915297	1.2591899601092207
