Eigvals	2
12.137958948548453	1.6068563517727095

Proportion explained	2
0.9827766507261322	0.01722334927386781

Species	20	2
ASV32	-1.689665688213562	0.031042449988624907
ASV17	4.865762432898369	-0.23096734772422806
ASV2	3.079374219290829	0.6624097648288018
ASV3	-2.1558309483128704	-0.25530272735552617
ASV10	-3.2214878947242633	-0.9476138146810087
ASV13	-1.822324280849305	0.027458344361859774
ASV40	-1.7958783604564614	0.028345167296059
ASV11	-2.4620947664897965	0.6850238914288055
ASV19	0.41909944714005587	0.046530021955934454
ASV4	4.708767360659949	0.14731137514230236
ASV12	-1.7338808590019867	0.02657444864047974
ASV18	-1.7875499004644535	0.026497409259838352
ASV30	0.05267099288520805	0.5461866306552587
ASV75	-1.821420161419878	0.027293898624794036
ASV79	-1.8214240792768956	0.027669372544837652
ASV5	3.410216944526935	-0.1335973585826411
ASV1	4.938222941395854	-0.3114064808679373
ASV16	-1.7845426874821122	0.030600917457118695
ASV38	-1.8223084062994108	0.027777229761107202
ASV9	2.4442936941937963	-0.46183319273447965

Site	27	2
Acetaldehyde	0.24879482716133972	-0.1966896248902241
Pentanal	-0.0644599973629539	0.017780347555358084
Hexanal	-0.1102137405649589	-0.03683980238652062
Heptanal	-0.06376105593834308	-0.0056685201793585105
Octanal	-0.14447963256553248	-0.05732765398942391
Nonanal	-0.02729059439420843	-0.02402438109800772
(E)-2-Nonenal	-0.28471283070645015	-0.013022041058221958
2,3-Butanedione	0.2674076786971478	0.3725212207982269
3-Penten-2-one	-0.08392664012356278	0.001432653644973162
2-Heptanone	0.40281321502860945	0.25414778974862046
Acetoin	0.22195758405087218	-0.15723794488730344
2-Nonanone	0.2643491363700074	-0.33172050449385904
Ethyl hexanoate	-0.3176174185098197	-0.01785303691496717
Methyl Benzoate	-0.1372839141362388	-0.024563197129151858
delta-Decalactone	0.04715999591743262	0.18180811283705683
delta-Dodecalactone	-0.10624208723814742	0.00370413922039202
1-Hexanol	0.1089136732034026	-0.07612782819694346
1-Octen-3-ol	-0.09363019095986633	0.1543102175806621
Linalool	-0.3349088205450482	-0.020849428779107147
Butanoic acid	0.2622255776013892	0.07273586534792731
Hexanoic acid	0.1962486070884813	-0.3263754641750157
Methanethiol	-0.06440999357234593	0.00375807266393123
Dimethyl sulfide	-0.015773476438967805	0.09502293165597973
Dimethyl disulfide	0.05103686952381075	0.06873670925644317
Dimethyl trisulfide	0.010064134904081203	0.5032106083757101
Dimethyl tetrasulfide	-0.2705885399476757	-0.023670978473329864
Styrene	0.038327633457545265	-0.4171982620338471

Biplot	0	0

Site constraints	0	0
