"","we.ep","we.eBH","wi.ep","wi.eBH","rab.all","rab.win.Base","rab.win.Target","diff.btw","diff.win","effect","effect.low","effect.high","overlap"
"ASV17",0.845798288391039,1,0.435101424091165,0.969418912502123,1.10564101999967,0.266579516450404,2.3315610085243,1.67953033826965,6.94312681604941,0.2001570742468,-5.42186857262875,4.51553032219436,0.405333336969865
"ASV2",0.0407530921803511,0.493048701412016,0.0460009594581471,0.556184837381995,1.12483984521138,-0.126719291186026,4.33958889342281,3.94125277393822,6.6839938109236,0.560510675222787,-2.05471621953542,5.89076242956614,0.275333343759333
"ASV3",0.73160312164847,0.980099191035965,0.758404414535285,0.98326157689495,-0.762845187114131,-0.698357935823188,-0.823040179033345,-0.0304029164538289,4.50260355940251,-0.00677838746310485,-3.67350730188827,3.83493090196515,0.498334443765803
"ASV10",0.404464733640228,0.961595412522588,0.419432084582805,0.958280709479523,0.327939729533969,0.957969145711552,-0.135662968877853,-1.50724633447719,7.31019507115048,-0.180226933904087,-4.63105963887505,3.25636710051971,0.403064627309717
"ASV13",0.229075400228066,0.79003143403921,0.280834440647403,0.832968141022968,-0.569525606653956,0.268691056386444,-1.16720280905551,-1.71157565744235,5.77401662407267,-0.280302902299055,-5.46226185168485,2.94961299869686,0.359333338991004
"ASV40",0.441353762772342,0.919848162700741,0.526839669820129,0.941690337324996,-0.495396833260795,-0.751557919636871,-0.207961564429635,0.897310464323219,5.2025500497067,0.158302977449418,-3.02637122510606,4.88147419492108,0.428666669363533
"ASV63",0.73155804552936,0.972533752726525,0.736056390108311,0.977338976480104,-0.788466243854077,-0.670104774232262,-0.86587608158558,0.00620538906937806,4.25291442907355,0.000911677034832585,-4.39494376297942,3.97971746910148,0.499333333358025
"ASV66",0.731421094341666,0.97299685270642,0.729522547261637,0.969993152491507,-0.778782568953252,-0.665365348033745,-0.888902180156565,-0.110827842196392,4.60712617946763,-0.016604952635427,-3.93944205156404,4.3968075664602,0.485676216386335
"ASV76",0.73022796059623,0.987961775741461,0.736395485792372,0.990775567052531,-0.750920753632149,-0.739716585176224,-0.757548155224941,0.0526525558926405,4.52514828868578,0.0111957406857834,-3.57945574885851,4.0634130354781,0.496335776284772
"ASV80",0.502926038459253,0.923021433367367,0.521940051659615,0.930380263885983,-0.845572622168546,-0.494727653011236,-1.13964298229125,-0.778723809687465,4.61421523131948,-0.151849758181541,-4.52865978827872,3.24366617257696,0.42066666968082
"ASV11",0.260040989563767,0.839726954669855,0.380920966135623,0.892224785835011,-0.42040150437576,0.225817228814485,-0.938086104183908,-1.49141880670241,6.12743572608565,-0.236795093406466,-5.19192078554166,2.84383789827809,0.381079285142026
"ASV19",0.202613599828688,0.899967415176414,0.28262252524764,0.931010703083861,1.37552632958668,0.20828348567035,5.14466432934017,2.95320401873883,8.47413461625789,0.354648722743744,-2.81703556139574,6.63510908531931,0.37708195020865
"ASV4",0.420596638531482,0.998869293124993,0.265303670494587,0.985198075573388,7.29381681915969,6.92029853308043,8.06800207016654,1.65060578043958,6.50971238065839,0.233714697813334,-3.77828701792581,6.25698621991056,0.38840773252513
"ASV12",0.185835130240799,0.777893537638047,0.254834651203492,0.845727628670279,-0.586891282207038,0.259879906455797,-1.24052637582194,-1.82802233833569,6.02763734727547,-0.288550701651406,-5.85451457652223,2.42992878798067,0.361092610497623
"ASV30",0.678600153394879,0.978107272395594,0.715995327029725,0.977042223826921,-0.82347671079124,-0.85850390870711,-0.797011268526179,0.210745946818927,4.86870894824963,0.0422897243341138,-3.99546303031031,4.43190449244774,0.480666667383788
"ASV27",0.758492011691693,0.981595275660789,0.770634466105425,0.986507903293154,-0.884984558187756,-0.798692617372975,-0.967233665104808,-0.0212730924920894,4.44880531826127,-0.00567411562156156,-4.08701652089393,3.87859545786123,0.498334443765803
"ASV31",0.725092878827595,0.974679277059392,0.72426692099428,0.983172667231749,-0.874975569020719,-0.85898249521256,-0.903334037686288,0.0771739498162178,4.63862358738796,0.0175198222433143,-3.91170387164925,3.85122172337505,0.489673551348137
"ASV75",0.75211065867408,0.988341317038897,0.768954067205477,0.990141822562827,-0.851166917188761,-0.784564417039288,-0.921768035482378,-0.0265067428691994,4.59442533689515,-0.00800423473393828,-3.34997794777172,3.65479779427585,0.497001998778448
"ASV5",0.427465672944285,0.970259394943072,0.405967660250751,0.955248293428095,0.190571035804368,1.37602131875581,-0.478433181998401,-1.9188460098276,8.46439468481184,-0.230471750687631,-4.76947211073751,3.33030365159729,0.397333337303178
"ASV29",0.542856075967379,0.922594896743943,0.539277839057397,0.947979499904146,-0.802247578522765,-0.383192329306853,-1.19349508372131,-0.623306724470122,4.40592549917925,-0.135362686730262,-4.60827306757921,3.3522534238134,0.429713526969265
"ASV21",0.476119322121698,0.922923174137709,0.519018826460361,0.946453767961626,-0.573590134344877,-0.870850438573311,-0.341050104542849,0.747907467575453,5.08771465262317,0.128571663326094,-3.07751490915757,4.67701954775986,0.437708196877331
"ASV1",0.330613048277203,0.946164985969175,0.445215579864413,0.976018582552623,16.4615873846894,16.5869487944832,16.2611405551992,-0.300181167884841,1.59770696525263,-0.180255296715202,-4.55645072712036,2.53360598659725,0.415056632149291
"ASV16",0.710853101509427,0.990149925525507,0.679251224027205,0.976856300867825,-0.86293397972326,-0.676401091601164,-1.00063123940774,-0.393183232352428,5.44176517096517,-0.0639244036915084,-4.16273753780491,3.94683894405796,0.463024651608331
"ASV38",0.720878211828352,0.986118486250253,0.734357095578233,0.982043429921817,-0.811168085215872,-0.794361759072222,-0.818453631110676,0.143453059868937,4.62080501191115,0.0234855563968928,-4.07244240181665,3.88425710283777,0.488000000444701
"ASV49",0.577888541809601,0.939957039726912,0.561324431944006,0.95579265833976,-0.887439922910393,-0.511256816650544,-1.14454288540579,-0.640836588416135,4.619017084177,-0.121970105443126,-3.95066885846054,3.56706044854336,0.441705531832793
"ASV60",0.740748800182471,0.980603216920975,0.767065725684002,0.988845253625815,-0.875625795852017,-0.788492207181847,-0.971557656128438,-0.0834041374370997,4.44026327152924,-0.0174147772675249,-4.07991378366681,3.55335707423366,0.491333333654417
"ASV62",0.742877734700295,0.973586223567183,0.741500933203718,0.976298092103066,-0.821008252268475,-0.805210042506531,-0.852755283553218,0.0165921218768892,4.41298681735555,0.00602744050154694,-4.03201408206147,4.11093452685268,0.498334443765803
"ASV64",0.759397879977084,0.979089384981097,0.741622204959027,0.987107838202079,-0.815761209633887,-0.822855528329367,-0.804250723925484,0.0094549833255746,4.36626108522814,0.00253844937353725,-3.76524292460789,4.09573691461252,0.49866666671605
"ASV74",0.748970421291457,0.984810953488205,0.763815932547309,0.983734369288618,-0.812701862192843,-0.7729654320057,-0.84744393529206,-0.0241840883953301,4.54620275914478,-0.00745331736450857,-3.59765184894523,3.93652219445842,0.497668221272125
"ASV9",0.266942955254752,0.85380255100433,0.428096558546626,0.907529610616642,-0.414895016220997,-0.786453751558543,-0.0778445278117861,1.17784890544694,5.40163352330064,0.190663256630587,-3.1563152582143,5.77465800220781,0.406395739763836
