"","we.ep","we.eBH","wi.ep","wi.eBH","rab.all","rab.win.Base","rab.win.Target","diff.btw","diff.win","effect","effect.low","effect.high","overlap"
"ASV17",0.168444287350279,0.623580331563075,0.351212008150089,0.766696921529685,-0.901485979501856,-0.272938219602525,-1.50922345563342,-1.57342461832074,6.14575694767154,-0.236586717188516,-7.16916013998757,2.27111600290429,0.364166675153761
"ASV2",0.388968141557727,0.927462303628847,0.582174284077299,0.964871224293273,-0.531309366326251,-0.680101305319443,-0.299348167075596,0.933348000542581,7.48158264477365,0.122698460328409,-2.86377277640069,5.79655321708421,0.43796836334009
"ASV3",0.260688437481606,0.754726088927172,0.378294774003012,0.834009870107757,-0.881557980415224,-1.27975972082215,-0.239806006663805,1.52522661696227,6.34025662065193,0.226774484958749,-2.50717778096609,5.43831565798427,0.384679440842024
"ASV10",0.107402501921082,0.475330340988993,0.172767411265392,0.621909407977843,-0.604095100626507,0.608070763609032,-1.4352678106519,-2.91872096665558,6.10940729861215,-0.433376984352586,-6.50740626146319,2.12235795910598,0.300000013778654
"ASV13",0.242837146123958,0.679543802059814,0.33758746503941,0.791793944267844,-0.882013097953074,-0.24427279401702,-1.49806407041992,-1.53271612682324,5.36379637832965,-0.28130217455418,-5.74553083053908,2.83193415649705,0.365528734436304
"ASV80",0.598863963647908,0.910916025695536,0.631651242014144,0.934084385921134,-1.30778522889977,-1.18007996554933,-1.47035515378093,-0.599331157156504,4.52373954061434,-0.10561798407643,-4.59459568644903,3.09877127106694,0.445462118093059
"ASV11",0.269650690802197,0.694076612899704,0.367130473899353,0.79637224800695,-0.87650980633158,-0.280451216317067,-1.42160390738981,-1.47683173622758,5.6580258582866,-0.242064604701171,-5.49831958553413,2.67547450661287,0.377500007541816
"ASV19",0.25865717063819,0.719507953415078,0.411201762439412,0.855880324852555,-0.711705443283222,-0.196915085024105,-1.25061914268609,-1.43183632797476,6.34726103329235,-0.231743654021183,-6.35770817310355,2.77059167084401,0.384679440842024
"ASV4",0.00100105621231354,0.0236781427177362,0.000188951130531411,0.00453482713275386,7.64799871003799,6.3002453703539,10.1170605729272,3.98859506645282,3.82919715162146,0.959580057934221,-0.545341937346512,10.7437686236787,0.0932556897921197
"ASV52",0.634203993922155,0.931736913016373,0.678600605389137,0.949594547816193,-1.30979266688903,-1.35845306087339,-1.24865972814369,0.228360353710563,4.71297435827305,0.0431852281525919,-3.08941235415159,4.50713109169161,0.474604497724118
"ASV12",0.237991898881961,0.678284996416872,0.337468174502096,0.799241444980091,-0.921901331949756,-0.286605638706867,-1.54171121957057,-1.65167687359607,5.71453429211813,-0.26238556632679,-5.9071121217299,2.71929950341398,0.359166675519055
"ASV30",0.247070232049478,0.783712420519848,0.45733241121362,0.858455804702917,-1.03654128994615,-1.32035913342725,-0.535211580562923,1.29964891936195,6.83769094223778,0.179620107120299,-2.67472668199654,8.34388793553471,0.397169032015165
"ASV42",0.707240741683384,0.963872892132317,0.708808794479477,0.964388673631748,-1.26613943127851,-1.36374285484413,-1.164976601481,0.121160061882217,4.32878686210127,0.0263414746618419,-4.29479772104466,4.42024298342339,0.48875936784375
"ASV43",0.689691867332194,0.951638097101267,0.689573365754211,0.965406189419381,-1.19763799795064,-1.27203926522857,-1.07997853647323,0.364944073471888,4.39146748216806,0.0700659176461036,-3.94861366114813,3.58906560173204,0.46416666875106
"ASV6",0.681599095662732,0.93858596911246,0.686759253123299,0.951260842709436,-1.31908777973402,-1.39677153395956,-1.24151329958809,0.202924868906123,4.51570181334826,0.0405831949816365,-3.42655912396278,4.16413714000775,0.478767694817568
"ASV5",0.765002575987701,0.999145487472882,0.748521360043166,0.997829327828063,1.57290212796152,1.06604829513463,2.40348091895074,0.399527737199649,7.62530771825817,0.0495308468894553,-3.42878623867045,3.50063371253917,0.471666668311609
"ASV29",0.646665963089569,0.926941112782164,0.629810899305448,0.945799950929753,-1.21433271642389,-1.0330656156575,-1.46900805314045,-0.505540916315285,4.3118533884266,-0.101188024366066,-4.42715956440076,3.71529894164434,0.451290594015124
"ASV70",0.662256649742668,0.956269561109321,0.692612500906013,0.958438320373036,-1.33814594568041,-1.41211631023559,-1.24417795557845,0.365231423469464,4.63876747537018,0.0634916907811449,-3.41697450624358,4.89672588768204,0.46666666860429
"ASV1",0.426703589467617,0.843468248292192,0.450927488486447,0.912664340031227,15.8583020965691,16.155202521417,15.6821887237708,-0.345056984600997,1.31686663392505,-0.235495387114668,-4.40039924750393,2.80155183433995,0.410000005382732
"ASV16",0.552869237689936,0.878776457436587,0.612725273903494,0.928247418178607,-1.36991326887053,-1.21745145777158,-1.51242587966413,-0.491643011349497,4.73572168784623,-0.0902192084555567,-4.96960833569166,3.2253776655396,0.447500003072063
"ASV49",0.608963468519255,0.899573906280593,0.609129128973657,0.895500492913308,-1.23511494220033,-1.05392625783634,-1.50684976812614,-0.530343887746785,4.45428884841911,-0.096123602634176,-4.66459318946529,3.55557690988289,0.452955872850448
"ASV53",0.66405395028908,0.935856314252682,0.686771214218246,0.950943543033596,-1.20120733371619,-1.22674049124016,-1.13748307805335,0.227310459227747,4.49328925102938,0.0445762176155491,-3.66051843344172,4.27928543929224,0.478767694817568
"ASV69",0.671209623647546,0.945193940725148,0.69314508055173,0.957322364949031,-1.3044337035178,-1.38416355457382,-1.18458088681334,0.21731046590819,4.68512237834786,0.0443488305808653,-3.91952462402004,4.29531931469014,0.477935055398834
"ASV9",0.195040301779514,0.758245534566848,0.457982533798593,0.900657514959278,-1.05784179861765,-1.3575237992279,-0.576438814635511,1.36487255821535,7.24032364399728,0.168527707581629,-2.94682497181518,8.74623455764097,0.395000006356719
