"","we.ep","we.eBH","wi.ep","wi.eBH","rab.all","rab.win.Base","rab.win.Target","diff.btw","diff.win","effect","effect.low","effect.high","overlap"
"ASV32",0.144510442212499,0.785644703771555,0.19555865927835,0.843408776457797,-0.076846376046662,0.711319352861516,-0.794181184503771,-1.99168420660297,5.72060271075408,-0.371842189665684,-5.1182205830963,2.31399127922216,0.346111115483325
"ASV17",0.223578275752884,0.982119083092692,0.394504510529603,0.999655873081568,2.63802915835944,2.73748026938125,2.56351826952617,-2.63744088564074,8.27372218972557,-0.293366996458106,-5.64156750612139,3.23230540319222,0.405885621607264
"ASV34",0.671953478221918,0.979115454984323,0.687377335384908,0.982324984140086,-0.618629325186834,-0.527005326574763,-0.721705719740998,-0.202748760972974,4.40417354248303,-0.0438962428006677,-3.78805342782177,3.39019577549491,0.479733481920759
"ASV57",0.678663832726948,0.985816689895242,0.696779220133262,0.980979672569962,-0.58969608826091,-0.521888764546583,-0.7016118824892,-0.189880601360136,4.46763024670758,-0.0424636206085799,-3.88257634784336,3.58375775266766,0.480288728991378
"ASV2",0.588095964081084,0.999181868233612,0.454169764570881,0.993887336808528,3.41776470478438,2.83834031919811,4.69301551258874,1.02165627754432,7.96031828335765,0.121900706249963,-3.53555167862989,4.22164941225895,0.427777779674928
"ASV3",0.60620022538746,0.969722947578075,0.645071550261991,0.962890170432045,-0.629250739462497,-0.707502550880791,-0.48844530809139,0.355143863471898,4.62538678833606,0.0610871572835474,-3.33109236943382,4.43120973722147,0.46529705808634
"ASV10",0.468299026317922,0.966400702925166,0.516395030771172,0.958188240554898,-0.08006989277259,-0.354724824941494,0.257909675383633,0.71684627405264,6.01442617319788,0.114182626668444,-3.2673425881842,5.26869235640807,0.441111112647049
"ASV40",0.264951573574195,0.8635806238107,0.344666050066477,0.870089629035718,-0.34785516963768,-0.749105450294847,0.216977404499838,1.3075610798223,5.39529817964732,0.219124066336137,-2.65547748502997,5.57942504498319,0.37833333665957
"ASV63",0.681680126227434,0.966680510424589,0.64090564316372,0.963258401624089,-0.586476146665399,-0.740313893305101,-0.395035440317058,0.320072650246544,4.30977082390957,0.0697234080668316,-3.83840453430911,3.81780037421226,0.464741811015863
"ASV66",0.600617699601833,0.958725857299919,0.636670516199304,0.951453217595749,-0.636526819553437,-0.725081648178161,-0.455651014417345,0.42320357507618,4.51596652435223,0.0805612679976374,-3.62478372357175,4.06564132607754,0.457222223330586
"ASV76",0.618186550646659,0.975854898597569,0.660524046673015,0.979169237914982,-0.505146107057284,-0.585632532402595,-0.407269422190483,0.289221088229215,4.44972529260335,0.058202930159859,-3.55326481668927,3.88762236527568,0.470000000774393
"ASV11",0.576445502875872,0.983351880406161,0.616878621048082,0.977269383767028,-0.229823225004338,-0.0383681413107571,-0.409487883616992,-0.503143220472817,5.0466935509775,-0.0881588624657882,-4.34684284601856,3.24038088021322,0.456413104959597
"ASV37",0.663275928097949,0.989434351385358,0.657789272410922,0.986919165366455,-0.589827438858608,-0.502107903778386,-0.670584752913624,-0.313586652382047,4.27487114254302,-0.0610256175571914,-4.47380541652462,3.80939124622785,0.468628540509335
"ASV19",0.476470736374527,0.994736004604489,0.309166146430613,0.978449366429598,2.63649168800939,1.86605578910206,5.5819855502126,1.17771527119413,8.24111286487051,0.146101366058053,-4.02668122515311,6.66409312150494,0.394444447285992
